Iteration	CPUTime	PhysTime	Travels
385	564	0	3.45414112
386	566	0	3.46311291
387	567	0	3.47208471
388	568	0	3.4810565
389	569	0	3.4900283
390	570	0	3.49900009
391	572	0	3.50797189
392	573	0	3.51694368
393	574	0	3.52591548
394	575	0	3.53488727
395	577	0	3.54385907
396	578	0	3.55283086
397	579	0	3.56180266
398	581	0	3.57077445
399	582	0	3.57974625
400	583	0	3.58871804
401	588	0	3.59768984
402	589	0	3.60666163
403	590	0	3.61563343
404	591	0	3.62460522
405	592	0	3.63357702
406	594	0	3.64254881
407	595	0	3.65152061
408	596	0	3.6604924
409	597	0	3.6694642
410	599	0	3.67843599
411	600	0	3.68740779
412	601	0	3.69637958
413	603	0	3.70535138
414	604	0	3.71432317
415	605	0	3.72329497
416	606	0	3.73226676
417	608	0	3.74123856
418	609	0	3.75021035
419	610	0	3.75918215
420	611	0	3.76815394
421	613	0	3.77712574
422	614	0	3.78609753
423	615	0	3.79506933
424	617	0	3.80404112
425	618	0	3.81301292
426	619	0	3.82198471
427	620	0	3.83095651
428	622	0	3.83992831
429	623	0	3.8489001
430	624	0	3.8578719
431	625	0	3.86684369
432	627	0	3.87581549
433	628	0	3.88478728
434	629	0	3.89375908
435	630	0	3.90273087
436	632	0	3.91170267
437	633	0	3.92067446
438	634	0	3.92964626
439	635	0	3.93861805
440	637	0	3.94758985
441	638	0	3.95656164
442	639	0	3.96553344
443	640	0	3.97450523
444	642	0	3.98347703
445	643	0	3.99244882
446	644	0	4.00142062
