Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
2.775000000000001910e-01,9.655291772420828700e-01,7.885673510329576530e+00,-1.354425951379623083e-07,0.000000000000000000e+00,-5.590783471269735078e-07
2.800000000000001932e-01,9.852911283744077986e-01,7.969792436391822221e+00,-1.869085710630459082e-07,0.000000000000000000e+00,-5.659219927602906334e-07
2.825000000000001954e-01,1.005263340027197083e+00,8.053848093055574253e+00,-1.794446606904440712e-07,0.000000000000000000e+00,-5.722257744157174234e-07
2.850000000000001976e-01,1.025445655515466292e+00,8.137843048903320664e+00,-2.240676839379273976e-07,0.000000000000000000e+00,-5.780018507517895467e-07
2.875000000000001998e-01,1.045837924491544779e+00,8.221779719031031775e+00,-1.917885100115225535e-07,0.000000000000000000e+00,-5.832026441065980808e-07
2.900000000000002021e-01,1.066440002554829070e+00,8.305660353379025196e+00,-1.312933132280754070e-07,0.000000000000000000e+00,-5.878705528100968313e-07
2.925000000000002043e-01,1.087251750832194830e+00,8.389487024743120358e+00,-9.102871135410656844e-08,0.000000000000000000e+00,-5.920658973338805614e-07
2.950000000000002065e-01,1.108273035528267725e+00,8.473261616374394123e+00,-7.504871026776617892e-08,0.000000000000000000e+00,-5.958128261311899654e-07
2.975000000000002087e-01,1.129503727444407746e+00,8.556985809225365003e+00,-7.236725508302693776e-08,0.000000000000000000e+00,-5.991044643693193929e-07
3.000000000000002109e-01,1.150943701465618307e+00,8.640661068756241292e+00,-7.960887538750847261e-09,0.000000000000000000e+00,-6.019452815424002425e-07
3.025000000000002132e-01,1.172592832163422916e+00,8.724225001321647355e+00,-1.328419927810948635e-07,0.000000000000000000e+00,-6.043693498794921752e-07
3.050000000000002154e-01,1.194450773358296081e+00,8.807613413626805610e+00,-1.599569667949078532e-07,0.000000000000000000e+00,-6.063233828755416726e-07
3.075000000000002176e-01,1.216517085414628108e+00,8.890824819053188222e+00,-7.500230275004130469e-08,0.000000000000000000e+00,-6.078137073540452548e-07
3.100000000000002198e-01,1.238791324964086060e+00,8.973857701350521410e+00,-7.851165932301933873e-08,0.000000000000000000e+00,-6.088715296803720810e-07
3.125000000000002220e-01,1.261273044830231616e+00,9.056710512367315502e+00,-1.301730362924168783e-07,0.000000000000000000e+00,-6.095064199545385176e-07
3.150000000000002243e-01,1.283961793947439256e+00,9.139381669643421802e+00,-1.416526886940492788e-07,0.000000000000000000e+00,-6.097241962042116601e-07
3.175000000000002265e-01,1.306857117273730440e+00,9.221869553959878729e+00,-1.705753552761629902e-07,0.000000000000000000e+00,-6.095421969660029757e-07
3.200000000000002287e-01,1.329958555701188372e+00,9.304172506950550314e+00,-2.476548654789009833e-07,0.000000000000000000e+00,-6.089745879395725104e-07
3.225000000000002309e-01,1.353265645941984285e+00,9.386288828514391724e+00,-2.174889452760084472e-07,0.000000000000000000e+00,-6.080548950441786087e-07
3.250000000000002331e-01,1.376777920444638870e+00,9.468216774327865792e+00,-2.919154217237278686e-07,0.000000000000000000e+00,-6.068114260396048287e-07
3.275000000000002354e-01,1.400494907267336497e+00,9.549954553425038739e+00,-2.185530996556400825e-07,0.000000000000000000e+00,-6.052937570462119592e-07
3.300000000000002376e-01,1.424416129963692823e+00,9.631500325756414682e+00,-2.002926628527033270e-07,0.000000000000000000e+00,-6.035187679394770853e-07
3.325000000000002398e-01,1.448541107458630739e+00,9.712852199745496407e+00,-2.052687116376852806e-07,0.000000000000000000e+00,-6.015139527168471399e-07
3.350000000000002420e-01,1.472869353918187851e+00,9.794008229782683372e+00,-1.847479326438735234e-07,0.000000000000000000e+00,-5.993100888929496365e-07
3.375000000000002442e-01,1.497400378612953054e+00,9.874966413611806715e+00,-1.347350290929171265e-07,0.000000000000000000e+00,-5.969240658155089250e-07
3.400000000000002465e-01,1.522133685774972989e+00,9.955724689715227171e+00,-1.368361124395831049e-07,0.000000000000000000e+00,-5.943642090004311975e-07
3.425000000000002487e-01,1.547068774448134842e+00,1.003628093475268912e+01,-1.330727732120791964e-07,0.000000000000000000e+00,-5.916639035446852933e-07
3.450000000000002509e-01,1.572205138332143592e+00,1.011663296087554365e+01,-4.409400413368179593e-08,0.000000000000000000e+00,-5.888331821136229726e-07
3.475000000000002531e-01,1.597542265619695590e+00,1.019677851311191397e+01,-1.093119137242526977e-07,0.000000000000000000e+00,-5.858302787979235666e-07
3.500000000000002554e-01,1.623079638827217508e+00,1.027671526660716594e+01,-1.377160320271544973e-07,0.000000000000000000e+00,-5.827249687592888984e-07
3.525000000000002576e-01,1.648816725484061330e+00,1.035630232712050081e+01,-2.443775166382021730e-07,0.000000000000000000e+00,-5.795831573618171342e-07
3.550000000000002598e-01,1.674752503635323020e+00,1.043540565103934092e+01,-2.868982810101581149e-07,0.000000000000000000e+00,-5.765421868398939832e-07
3.575000000000002620e-01,1.700885768352719207e+00,1.051403313129794448e+01,-2.851226284630290307e-07,0.000000000000000000e+00,-5.737076339581605564e-07
3.600000000000002642e-01,1.727215334540166403e+00,1.059219281968526793e+01,-2.275636418477990953e-07,0.000000000000000000e+00,-5.711219151901288334e-07
3.625000000000002665e-01,1.753740037310183464e+00,1.066989289134080998e+01,-2.103951034720315848e-07,0.000000000000000000e+00,-5.687478926786178467e-07
3.650000000000002687e-01,1.780458732273007882e+00,1.074714161194971140e+01,-2.923857487179399587e-07,0.000000000000000000e+00,-5.666052430756879708e-07
3.675000000000002709e-01,1.807370295745183597e+00,1.082394730738009692e+01,-2.574739142565546849e-07,0.000000000000000000e+00,-5.648606749307478076e-07
3.700000000000002731e-01,1.834473624883602882e+00,1.090031833576066589e+01,-2.700412783258180839e-07,0.000000000000000000e+00,-5.634752233023973231e-07
3.725000000000002753e-01,1.861767637751055693e+00,1.097626306172026389e+01,-2.558727797199893309e-07,0.000000000000000000e+00,-5.625102242610888444e-07
3.750000000000002776e-01,1.889251273318532487e+00,1.105178983273618520e+01,-2.842307168500961903e-07,0.000000000000000000e+00,-5.619836706219278326e-07
3.775000000000002798e-01,1.916923491409604052e+00,1.112690695748176850e+01,-2.612138313329408266e-07,0.000000000000000000e+00,-5.619452612789435543e-07
3.800000000000002820e-01,1.944783272591735557e+00,1.120162268603684907e+01,-2.924971414833881609e-07,0.000000000000000000e+00,-5.623893386261977758e-07
