Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
8.599000000000819099e+00,3.821218425755910175e+02,5.857830107347985482e+00,1.190120538515067675e-02,0.000000000000000000e+00
8.600000000000818545e+00,3.821276983321790794e+02,5.848700763648668755e+00,1.163975400403361414e-02,0.000000000000000000e+00
8.601000000000817991e+00,3.821335449599212097e+02,5.839564991702554053e+00,1.138615216157045675e-02,0.000000000000000000e+00
8.602000000000817437e+00,3.821393824482441914e+02,5.830413286812589746e+00,1.114023021587725454e-02,0.000000000000000000e+00
8.603000000000816883e+00,3.821452107812871191e+02,5.821245964563733999e+00,1.090182857367007034e-02,0.000000000000000000e+00
8.604000000000816328e+00,3.821510299435034881e+02,5.812063335561376221e+00,1.067081159791095739e-02,0.000000000000000000e+00
8.605000000000815774e+00,3.821568399196564201e+02,5.802865705492608939e+00,1.044699693524327871e-02,0.000000000000000000e+00
8.606000000000815220e+00,3.821626406948135468e+02,5.793653375187123089e+00,1.023022025431262298e-02,0.000000000000000000e+00
8.607000000000814666e+00,3.821684322543422354e+02,5.784426640677579279e+00,1.002031201945616928e-02,0.000000000000000000e+00
8.608000000000814111e+00,3.821742145839047566e+02,5.775185793259219658e+00,9.817163634890647278e-03,0.000000000000000000e+00
8.609000000000813557e+00,3.821799876694537375e+02,5.765931119548862505e+00,9.620611782479152052e-03,0.000000000000000000e+00
8.610000000000813003e+00,3.821857514972272725e+02,5.756662901543373678e+00,9.430493353569215434e-03,0.000000000000000000e+00
8.611000000000812449e+00,3.821915060537444333e+02,5.747381416677587396e+00,9.246671134753312385e-03,0.000000000000000000e+00
8.612000000000811895e+00,3.821972513258006643e+02,5.738086937881586636e+00,9.069007308895045416e-03,0.000000000000000000e+00
8.613000000000811340e+00,3.822029873004634055e+02,5.728779733637387572e+00,8.897370598611661907e-03,0.000000000000000000e+00
8.614000000000810786e+00,3.822087139650676022e+02,5.719460068035110645e+00,8.731595407804802061e-03,0.000000000000000000e+00
8.615000000000810232e+00,3.822144313072111572e+02,5.710128200828553879e+00,8.571568380078473798e-03,0.000000000000000000e+00
8.616000000000809678e+00,3.822201393147508952e+02,5.700784387490267058e+00,8.417175915746982415e-03,0.000000000000000000e+00
8.617000000000809123e+00,3.822258379757980720e+02,5.691428879265983731e+00,8.268277171597067376e-03,0.000000000000000000e+00
8.618000000000808569e+00,3.822315272787142248e+02,5.682061923228632239e+00,8.124712638262740483e-03,0.000000000000000000e+00
8.619000000000808015e+00,3.822372072121070801e+02,5.672683762331690360e+00,7.986385839926005842e-03,0.000000000000000000e+00
8.620000000000807461e+00,3.822428777648264031e+02,5.663294635462050586e+00,7.853166894427936195e-03,0.000000000000000000e+00
8.621000000000806907e+00,3.822485389259599060e+02,5.653894777492382673e+00,7.724929327965379851e-03,0.000000000000000000e+00
