Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
5.180000000000003491e-01,1.665395805952566732e+01,2.485540406806582325e+01,-1.587016209858269096e-06,0.000000000000000000e+00
5.190000000000003499e-01,1.667881963122061251e+01,2.488247564698619385e+01,-1.701580110129089300e-06,0.000000000000000000e+00
5.200000000000003508e-01,1.670370822938602728e+01,2.490934839436181392e+01,-1.486521374517052317e-06,0.000000000000000000e+00
5.210000000000003517e-01,1.672862365511814886e+01,2.493602199209647807e+01,-1.357244890389984662e-06,0.000000000000000000e+00
5.220000000000003526e-01,1.675356570919526433e+01,2.496249612274899832e+01,-1.359422176021280047e-06,0.000000000000000000e+00
5.230000000000003535e-01,1.677853419207836794e+01,2.498877046952580727e+01,-1.297472069604197785e-06,0.000000000000000000e+00
5.240000000000003544e-01,1.680352890391181120e+01,2.501484471627238904e+01,-1.336882668931322765e-06,0.000000000000000000e+00
5.250000000000003553e-01,1.682854964452392821e+01,2.504071854744348613e+01,-1.419642304611818110e-06,0.000000000000000000e+00
5.260000000000003562e-01,1.685359621342764669e+01,2.506639164809406495e+01,-1.438519352991104541e-06,0.000000000000000000e+00
5.270000000000003570e-01,1.687866840982108485e+01,2.509186370388844267e+01,-1.263323629282932398e-06,0.000000000000000000e+00
5.280000000000003579e-01,1.690376603258816246e+01,2.511713440108189843e+01,-1.189371720288008256e-06,0.000000000000000000e+00
5.290000000000003588e-01,1.692888888029918704e+01,2.514220342650177997e+01,-1.110253783064970965e-06,0.000000000000000000e+00
5.300000000000003597e-01,1.695403675121141873e+01,2.516707046754354593e+01,-1.116466920639415314e-06,0.000000000000000000e+00
5.310000000000003606e-01,1.697920944326964943e+01,2.519173521216903211e+01,-1.076385132060754539e-06,0.000000000000000000e+00
5.320000000000003615e-01,1.700440675410674629e+01,2.521619734889128495e+01,-1.049834269117614124e-06,0.000000000000000000e+00
5.330000000000003624e-01,1.702962848104422733e+01,2.524045656676199201e+01,-9.612110877882006740e-07,0.000000000000000000e+00
5.340000000000003633e-01,1.705487442109277652e+01,2.526451255536418472e+01,-1.046922456896922151e-06,0.000000000000000000e+00
5.350000000000003642e-01,1.708014437095278026e+01,2.528836500479170724e+01,-8.798959544762789748e-07,0.000000000000000000e+00
5.360000000000003650e-01,1.710543812701482835e+01,2.531201360564743652e+01,-7.713665818767070954e-07,0.000000000000000000e+00
5.370000000000003659e-01,1.713075548536023618e+01,2.533545804904938237e+01,-7.963397045001791302e-07,0.000000000000000000e+00
5.380000000000003668e-01,1.715609624176155634e+01,2.535869802660458916e+01,-4.453872130773914895e-07,0.000000000000000000e+00
5.390000000000003677e-01,1.718146019168304406e+01,2.538173323039226048e+01,-3.748298465536475739e-07,0.000000000000000000e+00
5.400000000000003686e-01,1.720684713028115098e+01,2.540456335297010781e+01,-5.491874525258484080e-07,0.000000000000000000e+00
5.410000000000003695e-01,1.723225685240498706e+01,2.542718808736183789e+01,-6.310102848583758913e-07,0.000000000000000000e+00
5.420000000000003704e-01,1.725768915259679659e+01,2.544960712705429273e+01,-6.656514730265323322e-07,0.000000000000000000e+00
5.430000000000003713e-01,1.728314382509240943e+01,2.547182016596978826e+01,-7.413420691062602112e-07,0.000000000000000000e+00
5.440000000000003721e-01,1.730862066382167797e+01,2.549382689847071504e+01,-7.916636099770997254e-07,0.000000000000000000e+00
5.450000000000003730e-01,1.733411946240891410e+01,2.551562701933983135e+01,-6.676805821510694386e-07,0.000000000000000000e+00
5.460000000000003739e-01,1.735964001417330849e+01,2.553722022380143741e+01,-6.250490288304246658e-07,0.000000000000000000e+00
5.470000000000003748e-01,1.738518211212937814e+01,2.555860620751302648e+01,-7.092229226486163849e-07,0.000000000000000000e+00
5.480000000000003757e-01,1.741074554898739279e+01,2.557978466653276683e+01,-4.317965457764645702e-07,0.000000000000000000e+00
5.490000000000003766e-01,1.743633011715376568e+01,2.560075529731983224e+01,-6.050332241900927825e-07,0.000000000000000000e+00
5.500000000000003775e-01,1.746193560873146211e+01,2.562151779673660812e+01,-6.774314964912545179e-07,0.000000000000000000e+00
5.510000000000003784e-01,1.748756181535013354e+01,2.564206497779938942e+01,-7.533513265515378788e-07,0.000000000000000000e+00
5.520000000000003793e-01,1.751320851867371076e+01,2.566238964869570083e+01,-7.050214376272487234e-07,0.000000000000000000e+00
5.530000000000003801e-01,1.753887549612008812e+01,2.568249149271068177e+01,-8.317834026277551292e-07,0.000000000000000000e+00
5.540000000000003810e-01,1.756456252479076241e+01,2.570237019455812089e+01,-9.307295364389476482e-07,0.000000000000000000e+00
5.550000000000003819e-01,1.759026938147227170e+01,2.572202544038154670e+01,-8.540412865615444589e-07,0.000000000000000000e+00
5.560000000000003828e-01,1.761599584263763063e+01,2.574145691777599154e+01,-8.734984647144248770e-07,0.000000000000000000e+00
5.570000000000003837e-01,1.764174168444776569e+01,2.576066431576924742e+01,-7.437284911180237530e-07,0.000000000000000000e+00
5.580000000000003846e-01,1.766750668275295766e+01,2.577964732482267962e+01,-8.133875195080365507e-07,0.000000000000000000e+00
5.590000000000003855e-01,1.769329061309427686e+01,2.579840563685222676e+01,-9.115062085381819141e-07,0.000000000000000000e+00
5.600000000000003864e-01,1.771909325070503627e+01,2.581693894521217203e+01,-1.042740704658457623e-06,0.000000000000000000e+00
5.610000000000003872e-01,1.774491437051222675e+01,2.583524694469018002e+01,-7.994149209587602355e-07,0.000000000000000000e+00
5.620000000000003881e-01,1.777075374713795597e+01,2.585332933152380264e+01,-7.642789839437156457e-07,0.000000000000000000e+00
5.630000000000003890e-01,1.779661115490089429e+01,2.587118580338083973e+01,-6.947012459864566450e-07,0.000000000000000000e+00
5.640000000000003899e-01,1.782248636781770301e+01,2.588881605937857699e+01,-5.941883384530703086e-07,0.000000000000000000e+00
5.650000000000003908e-01,1.784837915960449095e+01,2.590621980006237379e+01,-5.005537333492388915e-07,0.000000000000000000e+00
5.660000000000003917e-01,1.787428930367823554e+01,2.592339672743943169e+01,-3.804081968787306907e-07,0.000000000000000000e+00
5.670000000000003926e-01,1.790021657315825365e+01,2.594034654499629511e+01,-4.347726555757379995e-07,0.000000000000000000e+00
5.680000000000003935e-01,1.792616074086767952e+01,2.595706895767552425e+01,-5.127499095611385451e-07,0.000000000000000000e+00
5.690000000000003944e-01,1.795212157933492847e+01,2.597356367188317350e+01,-5.689454556435589040e-07,0.000000000000000000e+00
5.700000000000003952e-01,1.797809886079514641e+01,2.598983039550164875e+01,-4.484262205784992025e-07,0.000000000000000000e+00
5.710000000000003961e-01,1.800409235719169487e+01,2.600586883788036374e+01,-3.149549976775569732e-07,0.000000000000000000e+00
5.720000000000003970e-01,1.803010184017762541e+01,2.602167870985951836e+01,-3.389273999608602187e-07,0.000000000000000000e+00
5.730000000000003979e-01,1.805612708111716458e+01,2.603725972376830100e+01,-4.225234576188060551e-07,0.000000000000000000e+00
