Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
2.412999999999990042e+00,1.454967318171070758e+02,7.722256532424914610e+01,7.803994227473263828e-04,0.000000000000000000e+00
2.413999999999989932e+00,1.455739512195420957e+02,7.720863489182255535e+01,7.877713344886454845e-04,0.000000000000000000e+00
2.414999999999989821e+00,1.456511566911106286e+02,7.719470258466306234e+01,7.951506155650437096e-04,0.000000000000000000e+00
2.415999999999989711e+00,1.457283482299584421e+02,7.718076849369110448e+01,8.025371250685088033e-04,0.000000000000000000e+00
2.416999999999989601e+00,1.458055258343224807e+02,7.716683271112404441e+01,8.099524760660306317e-04,0.000000000000000000e+00
2.417999999999989491e+00,1.458826895025322585e+02,7.715289533045230996e+01,8.173773198315882876e-04,0.000000000000000000e+00
2.418999999999989381e+00,1.459598392330110244e+02,7.713895644639531213e+01,8.248151781334199170e-04,0.000000000000000000e+00
2.419999999999989271e+00,1.460369750242770408e+02,7.712501615488427831e+01,8.322648087795428895e-04,0.000000000000000000e+00
2.420999999999989161e+00,1.461140968749447495e+02,7.711107455302986580e+01,8.397090373789870650e-04,0.000000000000000000e+00
2.421999999999989051e+00,1.461912047837259649e+02,7.709713173904938799e+01,8.471787267138611516e-04,0.000000000000000000e+00
2.422999999999988940e+00,1.462682987494310112e+02,7.708318781222847349e+01,8.546710407318679550e-04,0.000000000000000000e+00
2.423999999999988830e+00,1.463453787709696599e+02,7.706924287287745301e+01,8.621644443147505809e-04,0.000000000000000000e+00
2.424999999999988720e+00,1.464224448473522955e+02,7.705529702232088596e+01,8.696622399051788348e-04,0.000000000000000000e+00
2.425999999999988610e+00,1.464994969776907965e+02,7.704135036281996918e+01,8.771837273107406258e-04,0.000000000000000000e+00
2.426999999999988500e+00,1.465765351611995584e+02,7.702740299749952158e+01,8.847041422949065894e-04,0.000000000000000000e+00
2.427999999999988390e+00,1.466535593971962328e+02,7.701345503036644402e+01,8.922350206481303525e-04,0.000000000000000000e+00
2.428999999999988280e+00,1.467305696851027221e+02,7.699950656625534862e+01,8.997749760119464965e-04,0.000000000000000000e+00
2.429999999999988169e+00,1.468075660244459186e+02,7.698555771076973997e+01,9.073278622507412747e-04,0.000000000000000000e+00
2.430999999999988059e+00,1.468845484148585001e+02,7.697160857027218128e+01,9.148973986384318540e-04,0.000000000000000000e+00
