Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
3.128999999999815262e+00,2.004394950734757117e+02,5.562060149796883479e+01,1.101880261407445129e-03,7.326007326007326868e-03
3.129999999999815152e+00,2.004951085007725737e+02,5.560624564769845080e+01,1.823921760978958065e-03,7.326007326007326868e-03
3.130999999999815042e+00,2.005507075502916052e+02,5.559184636344017605e+01,2.717037769092569850e-03,0.000000000000000000e+00
3.131999999999814932e+00,2.006062921798739183e+02,5.557740620684862876e+01,2.011135750352600633e-03,0.000000000000000000e+00
3.132999999999814822e+00,2.006618623499560670e+02,5.556292780651646979e+01,4.835927806195934944e-03,0.000000000000000000e+00
3.133999999999814712e+00,2.007174180236349059e+02,5.554841385367294748e+01,7.715004685988667912e-03,-1.465201465201465374e-02
3.134999999999814602e+00,2.007729591667279010e+02,5.553386709760472684e+01,5.670437919027681607e-03,-1.465201465201465374e-02
3.135999999999814492e+00,2.008284857478289780e+02,5.551929034120477269e+01,3.677343460751383679e-03,-1.465201465201465374e-02
3.136999999999814381e+00,2.008839977383597954e+02,5.550468643606379970e+01,1.731496822657894183e-03,-7.326007326007326868e-03
3.137999999999814271e+00,2.009394951126159015e+02,5.549005827770881183e+01,2.323791038679258111e-03,-1.465201465201465374e-02
3.138999999999814161e+00,2.009949778478083147e+02,5.547540880073582059e+01,4.722292534281812264e-04,-7.326007326007326868e-03
3.139999999999814051e+00,2.010504459241000177e+02,5.546074097349823262e+01,1.142188697121989619e-03,-1.465201465201465374e-02
3.140999999999813941e+00,2.011058993246372779e+02,5.544605779347002539e+01,-6.271914555146507718e-04,-7.326007326007326868e-03
3.141999999999813831e+00,2.011613380355759091e+02,5.543136228137864663e+01,1.144692295434819509e-04,-7.326007326007326868e-03
3.142999999999813721e+00,2.012167620461023034e+02,5.541665747677923548e+01,8.817667351894853270e-04,-1.465201465201465374e-02
3.143999999999813610e+00,2.012721713484493193e+02,5.540194643218260495e+01,-7.993908048601155959e-04,-7.326007326007326868e-03
3.144999999999813500e+00,2.013275659379067974e+02,5.538723220810772574e+01,1.946925754050935799e-05,-7.326007326007326868e-03
3.145999999999813390e+00,2.013829458128269323e+02,5.537251786789405372e+01,8.603118580884675740e-04,-1.465201465201465374e-02
3.146999999999813280e+00,2.014383109746242440e+02,5.535780647206674843e+01,-7.551602875803279866e-04,-7.326007326007326868e-03
3.147999999999813170e+00,2.014936614277704052e+02,5.534310107334737694e+01,1.152638567687622705e-04,-7.326007326007326868e-03
3.148999999999813060e+00,2.015489971797838109e+02,5.532840471187387976e+01,9.979862150365521184e-04,-1.465201465201465374e-02
3.149999999999812950e+00,2.016043182412143722e+02,5.531372040947032787e+01,-5.575338637011149987e-04,-7.326007326007326868e-03
3.150999999999812839e+00,2.016596246151118237e+02,5.529901963622015870e+01,4.179371966731913572e-04,-7.326007326007326868e-03
3.151999999999812729e+00,2.017149162654939119e+02,5.528427388884384186e+01,1.447917546918261068e-03,-1.465201465201465374e-02
3.152999999999812619e+00,2.017701931489268929e+02,5.526948625784856262e+01,7.841797137258187632e-05,-7.326007326007326868e-03
3.153999999999812509e+00,2.018254552250961638e+02,5.525465989029500236e+01,1.205106004607181232e-03,-1.465201465201465374e-02
3.154999999999812399e+00,2.018807024568599502e+02,5.523979798353069981e+01,-7.039201593067915229e-05,-1.465201465201465374e-02
3.155999999999812289e+00,2.019359348102961178e+02,5.522490377848674115e+01,-1.302323119656041564e-03,-7.326007326007326868e-03
3.156999999999812179e+00,2.019911522547428149e+02,5.520998055371235580e+01,-6.356827159805433433e-05,-7.326007326007326868e-03
3.157999999999812069e+00,2.020463547628328627e+02,5.519503161897676335e+01,1.204779544465184966e-03,-1.465201465201465374e-02
3.158999999999811958e+00,2.021015423105215234e+02,5.518006030821818797e+01,7.799834072729416520e-05,-1.465201465201465374e-02
3.159999999999811848e+00,2.021567148771075608e+02,5.516506997355553921e+01,-1.026587774687173164e-03,-7.326007326007326868e-03
3.160999999999811738e+00,2.022118724452483320e+02,5.515006397885885292e+01,3.055963987946485553e-04,-1.465201465201465374e-02
3.161999999999811628e+00,2.022670150009680015e+02,5.513504569281509760e+01,-7.583239074102250676e-04,-7.326007326007326868e-03
3.162999999999811518e+00,2.023221425336592176e+02,5.512001848265034454e+01,5.947256804455314586e-04,-1.465201465201465374e-02
3.163999999999811408e+00,2.023772550360785090e+02,5.510498570768151438e+01,-4.479387109821418057e-04,-7.326007326007326868e-03
3.164999999999811298e+00,2.024323525043347729e+02,5.508995071247669983e+01,9.046729709402529223e-04,-1.465201465201465374e-02
3.165999999999811187e+00,2.024874349378718819e+02,5.507491682126025268e+01,-1.365711483396103883e-04,-7.326007326007326868e-03
3.166999999999811077e+00,2.025425023394448942e+02,5.505988733120351242e+01,1.207207157022326203e-03,-1.465201465201465374e-02
3.167999999999810967e+00,2.025975547150900695e+02,5.504486550647869336e+01,1.539642137188986220e-04,-1.465201465201465374e-02
3.168999999999810857e+00,2.026525920740888012e+02,5.502985457218479581e+01,-9.148429678018520257e-04,-7.326007326007326868e-03
3.169999999999810747e+00,2.027076144289257229e+02,5.501485770890673876e+01,3.819207682638132463e-04,-1.465201465201465374e-02
3.170999999999810637e+00,2.027626217952414152e+02,5.499987804690560012e+01,-7.261079129124393614e-04,-7.326007326007326868e-03
3.171999999999810527e+00,2.028176141917792279e+02,5.498491866054357757e+01,5.181977127730107244e-04,-1.465201465201465374e-02
3.172999999999810417e+00,2.028725916403269025e+02,5.496998256343131573e+01,-6.413960442924842003e-04,-7.326007326007326868e-03
